model,dataset,estimator,near_perfect_policy,n_variants,variants_with_any_positive_fold,variants_all_folds_positive,variants_mixed_positive_negative
bag8,Amazon_employee_access,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,76,35,41
bag8,Another-Dataset-on-used-Fiat-500,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,65,5,56
bag8,Bank_Customer_Churn,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,98,19,70
bag8,Bioresponse,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,141,50,1,49
bag8,Diabetes130US,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,98,40,55
bag8,E-CommereShippingData,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,117,4,113
bag8,Fitness_Club,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,102,9,93
bag8,Food_Delivery_Time,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,132,46,8,38
bag8,GiveMeSomeCredit,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,76,11,65
bag8,HR_Analytics_Job_Change_of_Data_Scientists,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,120,33,85
bag8,Is-this-a-good-customer,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,117,40,76
bag8,MIC,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,130,68,62
bag8,Marketing_Campaign,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,103,29,74
bag8,QSAR-TID-11,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,29,5,24
bag8,QSAR_fish_toxicity,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,64,11,52
bag8,airfoil_self_noise,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,63,3,57
bag8,bank-marketing,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,116,12,104
bag8,blood-transfusion-service-center,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,80,7,73
bag8,churn,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,121,25,95
bag8,coil2000_insurance_policies,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,121,53,65
bag8,concrete_compressive_strength,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,48,1,47
bag8,credit-g,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,88,12,75
bag8,credit_card_clients_default,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,111,25,79
bag8,diabetes,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,104,6,98
bag8,diamonds,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,128,75,34,39
bag8,hazelnut-spread-contaminant-detection,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,81,15,66
bag8,healthcare_insurance_expenses,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,86,11,72
bag8,heloc,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,74,7,67
bag8,hiva_agnostic,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,103,12,90
bag8,houses,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,40,7,33
bag8,in_vehicle_coupon_recommendation,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,55,35,18
bag8,jm1,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,76,21,55
bag8,kddcup09_appetency,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,85,15,70
bag8,maternal_health_risk,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,65,20,39
bag8,miami_housing,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,65,8,57
bag8,online_shoppers_intention,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,111,43,68
bag8,physiochemical_protein,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,57,34,23
bag8,polish_companies_bankruptcy,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,80,3,77
bag8,qsar-biodeg,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,96,3,92
bag8,seismic-bumps,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,92,11,81
bag8,students_dropout_and_academic_success,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,96,22,74
bag8,superconductivity,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,54,8,46
bag8,taiwanese_bankruptcy_prediction,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,96,2,94
bag8,website_phishing,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,41,0,37
bag8,wine_quality,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,144,95,7,88
tabicl,Amazon_employee_access,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,67,30,27
tabicl,Another-Dataset-on-used-Fiat-500,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,64,6,57
tabicl,Bank_Customer_Churn,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,28,1,26
tabicl,E-CommereShippingData,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,88,5,82
tabicl,Fitness_Club,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,89,4,81
tabicl,HR_Analytics_Job_Change_of_Data_Scientists,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,108,17,89
tabicl,Is-this-a-good-customer,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,117,47,68
tabicl,MIC,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,134,56,2,52
tabicl,Marketing_Campaign,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,63,4,58
tabicl,QSAR_fish_toxicity,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,46,2,41
tabicl,airfoil_self_noise,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,45,5,39
tabicl,blood-transfusion-service-center,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,73,0,73
tabicl,churn,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,55,0,50
tabicl,coil2000_insurance_policies,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,134,78,4,74
tabicl,concrete_compressive_strength,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,51,1,35
tabicl,credit-g,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,26,0,23
tabicl,credit_card_clients_default,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,48,6,40
tabicl,diabetes,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,69,6,63
tabicl,healthcare_insurance_expenses,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,76,13,63
tabicl,heloc,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,59,3,55
tabicl,houses,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,33,11,19
tabicl,in_vehicle_coupon_recommendation,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,53,4,46
tabicl,jm1,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,26,0,14
tabicl,maternal_health_risk,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,53,0,51
tabicl,miami_housing,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,60,28,30
tabicl,online_shoppers_intention,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,40,1,35
tabicl,qsar-biodeg,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,62,1,61
tabicl,seismic-bumps,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,57,2,53
tabicl,students_dropout_and_academic_success,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,93,10,79
tabicl,superconductivity,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,123,53,15,34
tabicl,taiwanese_bankruptcy_prediction,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,98,14,78
tabicl,wine_quality,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,72,9,60
tabpfn,Another-Dataset-on-used-Fiat-500,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,82,23,59
tabpfn,Bank_Customer_Churn,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,123,83,3,80
tabpfn,E-CommereShippingData,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,123,101,5,96
tabpfn,Fitness_Club,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,71,0,71
tabpfn,Is-this-a-good-customer,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,118,24,94
tabpfn,MIC,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,124,83,0,83
tabpfn,Marketing_Campaign,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,134,77,1,76
tabpfn,QSAR_fish_toxicity,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,59,2,57
tabpfn,airfoil_self_noise,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,76,57,13
tabpfn,blood-transfusion-service-center,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,73,10,63
tabpfn,churn,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,117,20,97
tabpfn,coil2000_insurance_policies,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,119,85,3,82
tabpfn,concrete_compressive_strength,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,51,9,42
tabpfn,credit-g,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,134,99,18,81
tabpfn,diabetes,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,40,1,39
tabpfn,healthcare_insurance_expenses,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,126,119,74,45
tabpfn,heloc,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,122,65,4,61
tabpfn,jm1,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,121,86,37,49
tabpfn,maternal_health_risk,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,58,22,36
tabpfn,online_shoppers_intention,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,114,108,37,71
tabpfn,polish_companies_bankruptcy,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,134,68,10,58
tabpfn,qsar-biodeg,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,132,101,19,82
tabpfn,seismic-bumps,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,135,109,15,94
tabpfn,students_dropout_and_academic_success,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,132,63,2,61
tabpfn,taiwanese_bankruptcy_prediction,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,133,77,0,77
tabpfn,wine_quality,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,134,87,3,84
