model,dataset,source_id,dataset_family,dataset_versions_for_source_within_model
bag8,APSFailure,source::APSFailure,TabArena_IID,1
bag8,Amazon_employee_access,source::Amazon_employee_access,TabArena_IID,1
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,TabArena_IID,1
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,TabArena_IID,1
bag8,Bioresponse,source::Bioresponse,TabArena_IID,1
bag8,E-CommereShippingData,source::E-CommereShippingData,TabArena_IID,1
bag8,Fitness_Club,source::Fitness_Club,TabArena_IID,1
bag8,Food_Delivery_Time,source::Food_Delivery_Time,TabArena_IID,1
bag8,GiveMeSomeCredit,source::GiveMeSomeCredit,TabArena_IID,1
bag8,HR_Analytics_Job_Change_of_Data_Scientists,source::HR_Analytics_Job_Change_of_Data_Scientists,TabArena_IID,1
bag8,Is-this-a-good-customer,source::Is-this-a-good-customer,TabArena_IID,1
bag8,MIC,source::MIC,TabArena_IID,1
bag8,Marketing_Campaign,source::Marketing_Campaign,TabArena_IID,1
bag8,NATICUSdroid,source::NATICUSdroid,TabArena_IID,1
bag8,QSAR-TID-11,source::QSAR-TID-11,TabArena_IID,1
bag8,QSAR_fish_toxicity,source::QSAR_fish_toxicity,TabArena_IID,1
bag8,SDSS17,source::SDSS17,TabArena_IID,1
bag8,airfoil_self_noise,source::airfoil_self_noise,TabArena_IID,1
bag8,anneal,source::anneal,TabArena_IID,1
bag8,bank-marketing,source::bank-marketing,TabArena_IID,1
bag8,bike_sharing,source::bike_sharing,real_shift,1
bag8,blood-transfusion-service-center,source::blood-transfusion-service-center,TabArena_IID,1
bag8,brfss_diabetes,source::brfss_diabetes,real_shift,1
bag8,churn,source::churn,TabArena_IID,1
bag8,coil2000_insurance_policies,source::coil2000_insurance_policies,TabArena_IID,1
bag8,concrete_compressive_strength,source::concrete_compressive_strength,TabArena_IID,1
bag8,credit-g,source::credit-g,TabArena_IID,1
bag8,credit_card_clients_default,source::credit_card_clients_default,TabArena_IID,1
bag8,customer_satisfaction_in_airline,source::customer_satisfaction_in_airline,TabArena_IID,1
bag8,diabetes,source::diabetes,TabArena_IID,1
bag8,Diabetes130US,source::diabetes_130_us,TabArena_IID,2
bag8,diabetes_hospital,source::diabetes_130_us,real_shift,2
bag8,diamonds,source::diamonds,TabArena_IID,1
bag8,folktables_coverage,source::folktables,Folktables,7
bag8,folktables_coverage_covid,source::folktables,Folktables,7
bag8,folktables_employment,source::folktables,Folktables,7
bag8,folktables_income,source::folktables,Folktables,7
bag8,folktables_mobility,source::folktables,Folktables,7
bag8,folktables_travel_time,source::folktables,Folktables,7
bag8,folktables_travel_time_covid,source::folktables,Folktables,7
