model,dataset,method_key,method_role,estimator,near_perfect_policy,n_folds,positive_folds,tie_folds,negative_folds,any_fold_positive,all_folds_positive,all_folds_nonnegative,mixed_positive_and_negative,mean_fold_lift_pct
bag8,Amazon_employee_access,adversarial_lgbm_both_ratio,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,0,3,False,False,False,False,-1.4306849824137549
bag8,Amazon_employee_access,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,0,3,False,False,False,False,-1.4961892130217775
bag8,Amazon_employee_access,adversarial_lgbm_cal_iso_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,0,3,False,False,False,False,-1.8337865619238476
bag8,Amazon_employee_access,adversarial_lgbm_cal_platt_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,0,3,False,False,False,False,-2.3300770954021757
bag8,Amazon_employee_access,adversarial_lgbm_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,0,3,False,False,False,False,-1.9578557888501074
bag8,Amazon_employee_access,adversarial_logreg_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,0,3,False,False,False,False,-1.4767480115557596
bag8,Amazon_employee_access,adversarial_reweight_lgbm_cal_iso_ratio_hard,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,0,3,False,False,False,False,-0.3938055352499144
bag8,Amazon_employee_access,adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,1,0,2,True,False,False,True,-0.4609327395089952
bag8,Amazon_employee_access,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,1,0,2,True,False,False,True,-0.052934914693114975
bag8,Amazon_employee_access,adversarial_reweight_lgbm_ratio_hard,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,0.6375233064191607
bag8,Amazon_employee_access,adversarial_reweight_lgbm_ratio_hard_tempered,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,1,0,2,True,False,False,True,0.14459000196706415
bag8,Amazon_employee_access,adversarial_reweight_lgbm_ratio_normalize,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,2,0,1,True,False,False,True,0.576698287818698
bag8,Amazon_employee_access,adversarial_reweight_lgbm_ratio_winsorize,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,0.7247510783513119
bag8,Amazon_employee_access,adversarial_reweight_lgbm_ratio_winsorize_tempered,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,2,0,1,True,False,False,True,0.26279227718415343
bag8,Amazon_employee_access,adversarial_reweight_lgbm_raw_hard,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,2,0,1,True,False,False,True,0.760388475330834
bag8,Amazon_employee_access,adversarial_rf_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,0,3,False,False,False,False,-1.71511575555527
bag8,Amazon_employee_access,cluster_membership_k10_both,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,2,0,1,True,False,False,True,0.16297662349278189
bag8,Amazon_employee_access,cluster_membership_k10_both_cumshift,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,2,0,1,True,False,False,True,0.3793577305819575
bag8,Amazon_employee_access,cluster_membership_k10_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,2,0,1,True,False,False,True,0.08587022532543313
bag8,Amazon_employee_access,cluster_membership_k10_feature_cumshift,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,1,0,2,True,False,False,True,-0.28126544733300324
bag8,Amazon_employee_access,cluster_membership_k10_weight,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,0,3,False,False,False,False,-0.6491357839222999
bag8,Amazon_employee_access,cluster_membership_k15_both,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,1,0,2,True,False,False,True,-0.7573816011829204
bag8,Amazon_employee_access,cluster_membership_k5_both,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,1,0,2,True,False,False,True,-0.14052019634906
bag8,Amazon_employee_access,cluster_membership_k5_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,2,0,1,True,False,False,True,0.1653295969125135
bag8,Amazon_employee_access,freq_enc_train_only,train_only_version,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,7.52796500420011
bag8,Amazon_employee_access,freq_ratio_log,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,4.209602757270306
bag8,Amazon_employee_access,freq_ratio_log__sel_combined_intersection,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,4.560972286041117
bag8,Amazon_employee_access,freq_ratio_log__sel_combined_union,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,4.283424256180464
bag8,Amazon_employee_access,freq_ratio_v2_both_gated,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,freq_ratio_v2_diff_gated,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,freq_ratio_v2_ratio_gated,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,freq_ratio_v2_ratio_ungated,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,4.004595476434093
bag8,Amazon_employee_access,groupby_shift_cohen_d,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,groupby_shift_cohen_d__sel_combined_intersection,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,groupby_shift_cohen_d__sel_combined_union,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,groupby_shift_cohen_d_min10,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,groupby_shift_ratio_log,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,groupby_shift_ratio_raw,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,groupby_train_only,train_only_version,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,joint_freq_combined,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,5.866828123052893
bag8,Amazon_employee_access,joint_freq_combined__sel_combined_intersection,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,5.443936356439835
bag8,Amazon_employee_access,joint_freq_combined__sel_combined_union,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,6.091700023147557
bag8,Amazon_employee_access,joint_freq_separate,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,7.564213841138066
bag8,Amazon_employee_access,joint_freq_separate__sel_combined_intersection,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,6.866942770243468
bag8,Amazon_employee_access,joint_freq_separate__sel_combined_union,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,3,0,0,True,True,True,False,7.349068382290359
bag8,Amazon_employee_access,joint_groupby_combined,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,joint_groupby_combined__sel_combined_intersection,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,joint_groupby_combined__sel_combined_union,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
bag8,Amazon_employee_access,joint_groupby_mean_only,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,3,0,3,0,False,False,True,False,0.0
